DiaChi,TinhTrangBDS,DienTich,Gia/m2,Phongngu,TenPhanKhu,SoTang,PhongTam,Loai,GiayTo,MaCanHo,TinhTrangNoiThat,HuongCuaChinh,HuongBanCong,DacDiem,Gia
"96, Đường Trần Đại Nghĩa, Phường Tân Tạo A, Quận Bình Tân, Tp Hồ Chí Minh", Đã bàn giao, 78 m², 25 triệu/m², 3 phòng,,, 2 phòng, Chung cư,,,,,,,"1,95 tỷ- 78 m2đ"
"601 Đường Tô Ngọc Vân, Phường Tam Bình, Quận Thủ Đức, Tp.HCM, Phường Tam Bình, Quận Thủ Đức, Tp Hồ Chí Minh", Chưa bàn giao, 43 m²," 22,21 triệu/m²", 1 phòng,,, 1 phòng, Chung cư,,,,,,,955 triệu- 43 m2đ
"Đường Nguyễn Xiển, Phường Long Thạnh Mỹ, Quận 9, Tp Hồ Chí Minh", Đã bàn giao, 59 m²," 33,73 triệu/m²", 2 phòng,,, 1 phòng, Chung cư, Đang chờ sổ,,,,,,"1,99 tỷ
GIÁ TỐT
- 59 m2đ"
"Đường Số 45, Phường Trường Thạnh, Quận 9, Tp Hồ Chí Minh", Đã bàn giao, 80 m²," 56,25 triệu/m²", 4 phòng,,, 4 phòng," Căn hộ dịch vụ, mini", Đang chờ sổ,, Bàn giao thô, Đông Bắc, Tây Nam,,"4,5 tỷ
GIÁ TỐT
- 80 m2đ"
"Đường Nguyễn Xiển, Phường Long Thạnh Mỹ, Quận 9, Tp Hồ Chí Minh", Đã bàn giao, 59 m²," 35,08 triệu/m²", 2 phòng,,, 1 phòng, Chung cư,,, Nội thất cao cấp,,,,"2,07 tỷ- 59 m2đ"
"Đường Liên Phường, Phường Phú Hữu, Quận 9, Tp Hồ Chí Minh", Đã bàn giao, 62 m²," 29,03 triệu/m²", 2 phòng,,, 2 phòng, Chung cư, Đã có sổ,, Hoàn thiện cơ bản, Đông Nam, Đông,,"1,8 tỷ- 62 m2đ"
"Số 200, Số 200 đường 3/2, Phường 12, Quận 10, Tp Hồ Chí Minh", Đã bàn giao, 87 m²," 64,37 triệu/m²", 2 phòng,,, 2 phòng, Chung cư,,, Nội thất cao cấp, Tây Bắc, Đông Nam,,"5,6 tỷ
GIÁ TỐT
- 87 m2đ"
"Đường Liên Phường Quận 9, Tp. Hồ Chí Minh, Phường Phú Hữu, Quận 9, Tp Hồ Chí Minh", Đã bàn giao, 96 m², 25 triệu/m², 3 phòng,,, 3 phòng, Chung cư, Đã có sổ,,,,,,"2,4 tỷ- 96 m2đ"
"208, 208 Đường Nguyễn Hữu Cảnh, Phường 22, Quận Bình Thạnh, Tp Hồ Chí Minh", Đã bàn giao, 83 m²," 54,22 triệu/m²", 2 phòng, Landmark 5,5, 2 phòng, Chung cư, Đang chờ sổ,, Nội thất cao cấp, Tây Nam, Đông Bắc,,"4,5 tỷ- 83 m2đ"
"Đường Nguyễn Hữu Thọ, Xã Phước Kiển, Huyện Nhà Bè, Tp Hồ Chí Minh", Đã bàn giao, 83 m²," 42,35 triệu/m²", 2 phòng,,, 2 phòng, Chung cư,, ANB61171,,,,,"3,515 tỷ- 83 m2đ"
"Đường Hồ Học Lãm, Phường An Lạc, Quận Bình Tân, Tp Hồ Chí Minh", Đã bàn giao, 50 m²," 27,9 triệu/m²", 1 phòng,,, 1 phòng, Chung cư, Đã có sổ,, Nội thất đầy đủ, Đông, Đông,,"1,395 tỷ- 50 m2đ"
"208, 208 Đường Nguyễn Hữu Cảnh, Phường 22, Quận Bình Thạnh, Tp Hồ Chí Minh", Đã bàn giao, 56 m²," 53,57 triệu/m²", 1 phòng,,, 1 phòng, Chung cư,,,,,,,3 tỷ- 56 m2đ
"10A, 10A Đường Tô Ký, Phường Trung Mỹ Tây, Quận 12, Tp Hồ Chí Minh", Đã bàn giao, 51 m²," 33,33 triệu/m²", 2 phòng, A,6, 1 phòng, Chung cư, Đã có sổ,, Hoàn thiện cơ bản, Tây,, Căn góc,"1,7 tỷ- 51 m2đ"
"196, 196 Đường Cao Lỗ, Phường 4, Quận 8, Tp Hồ Chí Minh", Chưa bàn giao, 67.62 m²," 34,87 triệu/m²", 2 phòng, Dragon 2B,14, 2 phòng, Chung cư, Đang chờ sổ, D2B.1410, Nội thất cao cấp, Đông Bắc, Tây Nam,,"2,336 tỷ- 67.62 m2đ"
"Đường An Dương Vương, Phường 13, Quận 8, Tp Hồ Chí Minh", Chưa bàn giao, 68 m²," 26,18 triệu/m²", 2 phòng,,4, 2 phòng, Chung cư, Giấy tờ khác,4.13, Hoàn thiện cơ bản,,,,"1,78 tỷ- 68 m2đ"
"Đường Hậu Giang, Phường 11, Quận 6, Tp Hồ Chí Minh", Đã bàn giao, 83 m²," 35,54 triệu/m²", 2 phòng,,, 2 phòng, Chung cư, Đã có sổ,, Nội thất cao cấp, Tây Bắc,,,"2,95 tỷ- 83 m2đ"
"90A, 90A Đường Lý Thường Kiệt, Phường 14, Quận 10, Tp Hồ Chí Minh", Đã bàn giao, 89 m²," 64,04 triệu/m²", 3 phòng,,, 2 phòng, Chung cư, Đang chờ sổ,,, Đông Nam,, Căn góc,"5,7 tỷ- 89 m2đ"
"13E, 13E Đường Nguyễn Văn Linh, Xã Phong Phú, Huyện Bình Chánh, Tp Hồ Chí Minh", Đã bàn giao, 55 m²," 27,27 triệu/m²", 2 phòng,,, 2 phòng, Chung cư,,,,,,,"1,5 tỷ- 55 m2đ"
"Lô 5, Lô 5 Khu đô thị Vĩnh Lộc, Phường Bình Hưng Hoà B, Quận Bình Tân, Tp Hồ Chí Minh", Đã bàn giao, 63 m²," 25,4 triệu/m²", 2 phòng,,, 2 phòng, Chung cư, Đang chờ sổ,, Hoàn thiện cơ bản,,,,"1,6 tỷ- 63 m2đ"
"Đường Nguyễn Văn Linh, Phường Tân Thuận Tây, Quận 7, Tp Hồ Chí Minh", Đã bàn giao, 95 m²," 55,79 triệu/m²", 3 phòng,,, 2 phòng, Chung cư, Đang chờ sổ,, Nội thất cao cấp,,, Căn góc,"5,3 tỷ- 95 m2đ"
"Đường Phan Văn Hớn, Xã Xuân Thới Thượng, Huyện Hóc Môn, Tp Hồ Chí Minh", Đã bàn giao, 40 m²," 7,38 triệu/m²", 2 phòng,,7, 1 phòng, Chung cư, Đã có sổ,, Nội thất đầy đủ,,,,295 triệu- 40 m2đ
"Đường Tạ Quang Bửu %!s(<nil>), Phường 6, Quận 8, Tp Hồ Chí Minh", Đã bàn giao, 68 m²," 35,29 triệu/m²", 2 phòng,,, 2 phòng, Chung cư,,,,, Đông Nam,,"2,4 tỷ- 68 m2đ"
"Đường Tạ Quang Bửu, Phường 6, Quận 8, Tp Hồ Chí Minh", Đã bàn giao, 69 m²," 37,68 triệu/m²", 2 phòng,,, 2 phòng, Chung cư,,,,,,,"2,6 tỷ- 69 m2đ"
"Đường Nguyễn Hữu Thọ, Xã Phước Kiển, Huyện Nhà Bè, Tp Hồ Chí Minh", Đã bàn giao, 69.36 m²," 40,29 triệu/m²", 2 phòng,,, 2 phòng, Chung cư, Giấy tờ khác, ANB61105,,,,,"2,78 tỷ- 69.36 m2đ"
"đường Lê Văn Lương, xã Nhơn Đức, huyện Nhà Bè, Tp.HCM, Xã Nhơn Đức, Huyện Nhà Bè, Tp Hồ Chí Minh", Chưa bàn giao, 62.5 m²," 35,48 triệu/m²", 2 phòng,,, 2 phòng, Chung cư, Đang chờ sổ,, Hoàn thiện cơ bản,,,,"2,2 tỷ- 62.5 m2đ"
"Đường Nguyễn Văn Linh, Xã Bình Hưng, Huyện Bình Chánh, Tp Hồ Chí Minh", Đã bàn giao, 69 m²," 35,22 triệu/m²", 2 phòng, mp5,, 2 phòng, Chung cư, Đang chờ sổ,,, Tây Bắc, Đông Nam,,"2,43 tỷ- 69 m2đ"
"Đường Thoại Ngọc Hầu, Phường Hòa Thạnh, Quận Tân Phú, Tp Hồ Chí Minh", Đã bàn giao, 85 m²," 23,53 triệu/m²", 3 phòng, B,, 2 phòng, Chung cư, Đang chờ sổ,,,, Nam, Căn góc,2 tỷ- 85 m2đ
"Đường Nguyễn Hữu Thọ, Xã Phước Kiển, Huyện Nhà Bè, Tp Hồ Chí Minh", Đã bàn giao, 83 m²," 42,17 triệu/m²", 3 phòng, K,5, 2 phòng, Chung cư, Đang chờ sổ,5, Nội thất đầy đủ, Nam, Bắc,,"3,5 tỷ- 83 m2đ"
"Đường Võ Chí Công, Phường Phú Hữu, Quận 9, Tp Hồ Chí Minh", Đã bàn giao, 90 m²," 32,78 triệu/m²", 3 phòng,,, 2 phòng, Chung cư,,,,,, Căn góc,"2,95 tỷ- 90 m2đ"
"Đường Mai Chí Thọ, Phường An Phú, Quận 2, Tp Hồ Chí Minh", Đã bàn giao, 73 m²," 50,68 triệu/m²", 2 phòng,,, 2 phòng, Chung cư,, A0256008,,,,,"3,7 tỷ- 73 m2đ"
"196, 196 Đường Cao Lỗ, Phường 4, Quận 8, Tp Hồ Chí Minh", Chưa bàn giao, 79 m²," 22,78 triệu/m²", 2 phòng,,, 2 phòng, Chung cư, Đang chờ sổ,,,,,,"1,8 tỷ- 79 m2đ"
"Đường số 1, Phường Trường Thọ, Quận Thủ Đức, Tp Hồ Chí Minh", Đã bàn giao, 51 m²," 34,31 triệu/m²", 2 phòng,,, 2 phòng, Chung cư,,,,,,,"1,75 tỷ- 51 m2đ"
"Đường Tô Ngọc Vân, Phường Tam Bình, Quận Thủ Đức, Tp Hồ Chí Minh", Đã bàn giao, 62 m²," 31,13 triệu/m²", 2 phòng, P,6, 2 phòng, Chung cư, Đang chờ sổ, P6,, Tây Bắc, Đông Nam,,"1,93 tỷ- 62 m2đ"
"Đường Nguyễn Văn Linh, Xã Bình Hưng, Huyện Bình Chánh, Tp Hồ Chí Minh", Đã bàn giao, 75 m²," 34,8 triệu/m²", 2 phòng,,12, 2 phòng, Chung cư, Đang chờ sổ,,, Nam, Bắc,,"2,61 tỷ- 75 m2đ"
"Đường Liên Phường, Phường Phước Long B, Quận 9, Tp Hồ Chí Minh", Đã bàn giao, 62 m²," 31,94 triệu/m²", 2 phòng,,, 2 phòng, Chung cư,,,,,,,"1,98 tỷ- 62 m2đ"
Đường Nguyễn Văn Linh, Chưa bàn giao, 56 m²," 35,71 triệu/m²", 2 phòng,,,, Chung cư,,,,,,,2 tỷ- 56 m2đ
"Đường Mai Chí Thọ, Phường An Phú, Quận 2, Tp Hồ Chí Minh", Đã bàn giao, 75.8 m²," 56,93 triệu/m²", 2 phòng,,, 2 phòng, Chung cư,, A0260582,,,,,"4,27 tỷ- 75.8 m2đ"
"Đường Bế Văn Cấm, Phường Tân Kiểng, Quận 7, Tp Hồ Chí Minh", Đã bàn giao, 49 m²," 40,2 triệu/m²", 1 phòng, T1A,, 1 phòng, Officetel, Đang chờ sổ,, Nội thất cao cấp, Tây, Đông,,"1,97 tỷ- 49 m2đ"
"Đường Phan Văn Hớn, Phường Tân Thới Nhất, Quận 12, Tp Hồ Chí Minh", Đã bàn giao, 40 m²," 11,75 triệu/m²", 1 phòng,,, 1 phòng, Chung cư, Đã có sổ,, Hoàn thiện cơ bản,,,,470 triệu- 40 m2đ
"Số 584, Số 584 Đường Huỳnh Tấn Phát, Phường Tân Phú, Quận 7, Tp Hồ Chí Minh", Đã bàn giao, 90 m²," 48,89 triệu/m²", 2 phòng,3,8, 2 phòng, Chung cư, Đã có sổ,,,,,,"4,4 tỷ- 90 m2đ"
"119, 119 Đường Phổ Quang, Phường 9, Quận Phú Nhuận, Tp Hồ Chí Minh", Đã bàn giao, 85 m²," 57,65 triệu/m²", 3 phòng,1,15, 2 phòng, Chung cư, Giấy tờ khác,, Hoàn thiện cơ bản, Nam, Bắc, Căn góc,"4,9 tỷ- 85 m2đ"
"Đường Hậu Giang, Phường 11, Quận 6, Tp Hồ Chí Minh", Đã bàn giao, 83 m²," 35,54 triệu/m²", 2 phòng,,, 2 phòng, Chung cư, Đã có sổ,, Nội thất cao cấp, Tây Bắc,,,"2,95 tỷ- 83 m2đ"
"Đường Nguyễn Văn Linh, Phường 6, Quận 8, Tp Hồ Chí Minh", Đã bàn giao, 65 m²," 27,69 triệu/m²", 2 phòng,,, 1 phòng, Chung cư,,,,, Đông,,"1,8 tỷ- 65 m2đ"
"Đường Nguyễn Văn Quỳ, Phường Phú Thuận, Quận 7, Tp Hồ Chí Minh", Đã bàn giao, 62 m²," 32,26 triệu/m²", 2 phòng,,, 2 phòng, Chung cư, Đã có sổ,,,,,,2 tỷ- 62 m2đ
"Đường Phú Thuận, Phường Tân Phú, Quận 7, Tp.HCM, Phường Tân Phú, Quận 7, Tp Hồ Chí Minh", Đã bàn giao, 73.6 m²," 52,74 triệu/m²", 2 phòng, S1,20, 2 phòng, Chung cư, Đang chờ sổ,5, Nội thất cao cấp, Đông Bắc, Tây Nam,,"3,85 tỷ- 73.6 m2đ"
"200 đường 3 tháng 2, Phường 12, Quận 10, Tp Hồ Chí Minh", Đã bàn giao, 87 m²," 74,71 triệu/m²", 2 phòng, Orchid 1,28, 2 phòng, Chung cư, Đang chờ sổ, O1-28-12A, Nội thất đầy đủ, Tây Bắc, Đông Nam,,"6,5 tỷ- 87 m2đ"
"208, 208 Đường Nguyễn Hữu Cảnh, Phường 22, Quận Bình Thạnh, Tp Hồ Chí Minh", Đã bàn giao, 49 m²," 60,82 triệu/m²", 1 phòng,,, 1 phòng, Chung cư, Đang chờ sổ,, Nội thất cao cấp,,,,"2,98 tỷ- 49 m2đ"
"196, 196 Đường Cao Lỗ, Phường 4, Quận 8, Tp Hồ Chí Minh", Đã bàn giao, 78 m²," 26,67 triệu/m²", 2 phòng,,, 2 phòng, Chung cư, Đang chờ sổ,,,,,,"2,08 tỷ- 78 m2đ"
"Đường Cư xá Thanh Đa, Phường 27, Quận Bình Thạnh, Tp Hồ Chí Minh", Đã bàn giao, 45 m²," 68,89 triệu/m²", 2 phòng,,, 2 phòng, Chung cư, Đã có sổ,,, Tây Bắc,,,"3,1 tỷ- 45 m2đ"
"Số 207, Số 207 Đường Nguyễn Xí, Phường 26, Quận Bình Thạnh, Tp Hồ Chí Minh", Chưa bàn giao, 87 m²," 43,1 triệu/m²", 3 phòng,,, 3 phòng, Chung cư,,,,,,,"3,75 tỷ- 87 m2đ"
"Số 207, Số 207 Đường Nguyễn Xí, Phường 26, Quận Bình Thạnh, Tp Hồ Chí Minh", Đã bàn giao, 38 m²," 39,47 triệu/m²", 1 phòng,,, 1 phòng, Chung cư,,,,,,,"1,5 tỷ- 38 m2đ"
"146, 146 Đường Nguyễn Văn Trỗi, Phường 8, Quận Phú Nhuận, Tp Hồ Chí Minh", Đã bàn giao, 79.25 m²," 58,23 triệu/m²", 2 phòng,,, 2 phòng, Chung cư, Đang chờ sổ,, Nội thất đầy đủ,,,,"4,6 tỷ- 79.25 m2đ"
"Đường Võ Văn Kiệt, Phường An Lạc, Quận Bình Tân, Tp Hồ Chí Minh", Chưa bàn giao, 75 m²," 33,33 triệu/m²", 2 phòng,,, 2 phòng, Chung cư, Đang chờ sổ,,,,,,"2,5 tỷ- 75 m2đ"
"Đường 15B, Phường Phú Mỹ, Quận 7, Tp Hồ Chí Minh", Đã bàn giao, 68 m²," 23,82 triệu/m²", 2 phòng,,, 2 phòng, Chung cư, Đang chờ sổ,, Nội thất đầy đủ,,,,"1,62 tỷ- 68 m2đ"
"đường Lê Văn Lương, xã Nhơn Đức, huyện Nhà Bè, Tp.HCM, Xã Nhơn Đức, Huyện Nhà Bè, Tp Hồ Chí Minh", Chưa bàn giao, 50 m², 10 triệu/m², 1 phòng,,, 1 phòng, Chung cư, Đang chờ sổ,, Hoàn thiện cơ bản,,,,500 triệu- 50 m2đ
"171A, 171A Đường Hoàng Hoa Thám, Phường 13, Quận Tân Bình, Tp Hồ Chí Minh", Đã bàn giao, 83 m²," 43,98 triệu/m²", 2 phòng, F,, 2 phòng, Chung cư, Đã có sổ,,,, Đông Nam,,"3,65 tỷ- 83 m2đ"
"Đường Hồ Văn Long, Phường Tân Tạo, Quận Bình Tân, Tp Hồ Chí Minh", Đã bàn giao, 34 m²," 17,65 triệu/m²", 1 phòng, D,10, 1 phòng, Chung cư, Giấy tờ khác, 5B,,,, Căn góc,600 triệu- 34 m2đ
Nhấn để hiện số: 093707 ***,,,,,,,,,,,,,,,40 triệu- 30 m2đ
"10, 10 Đường Mai Chí Thọ, Phường An Lợi Đông, Quận 2, Tp Hồ Chí Minh", Đã bàn giao, 120 m²," 87,5 triệu/m²", 3 phòng, A,, 2 phòng, Chung cư, Đang chờ sổ,, Nội thất cao cấp, Đông Bắc, Tây Nam, Căn góc,"10,5 tỷ- 120 m2đ"
"111B, 111B Đường Lý Thánh Tông, Phường Tân Thới Hòa, Quận Tân Phú, Tp Hồ Chí Minh", Đã bàn giao, 65 m²," 29,23 triệu/m²", 2 phòng,,, 2 phòng, Chung cư, Đã có sổ,,,,, Căn góc,"1,9 tỷ- 65 m2đ"
"Đường Huỳnh Tấn Phát, Xã Phú Xuân, Huyện Nhà Bè, Tp Hồ Chí Minh", Đã bàn giao, 63 m²," 18,73 triệu/m²", 2 phòng,,, 2 phòng, Chung cư, Đang chờ sổ,,,,, Căn góc,"1,18 tỷ- 63 m2đ"
"Đường Nguyễn Hữu Thọ, Xã Phước Kiển, Huyện Nhà Bè, Hồ Chí Minh, Xã Phước Kiển, Huyện Nhà Bè, Tp Hồ Chí Minh", Chưa bàn giao, 48.8 m²," 62,5 triệu/m²", 1 phòng," T2,T3",21, 1 phòng, Chung cư, Giấy tờ khác, VIP, Hoàn thiện cơ bản,,,,"3 tỷ
GIÁ TỐT
- 48.8 m2đ"
"ta quang buu, Phường 6, Quận 8, Tp Hồ Chí Minh", Chưa bàn giao, 25 m², 36 triệu/m², 1 phòng,,, 1 phòng, Officetel,,,,,,,900 triệu- 25 m2đ
"Đường Đỗ Xuân Hợp, Phường Phước Long B, Quận 9, Tp Hồ Chí Minh", Đã bàn giao, 56 m²," 28,75 triệu/m²", 2 phòng,,8, 1 phòng, Chung cư, Đã có sổ,,,,, Căn góc,"1,61 tỷ- 56 m2đ"
"117/80, Đường Hồ Văn Long, Phường Tân Tạo, Quận Bình Tân, Tp Hồ Chí Minh", Đã bàn giao, 34 m²," 17,5 triệu/m²", 1 phòng,,, 1 phòng, Chung cư,,,,,,,595 triệu- 34 m2đ
"Đường Nguyễn Văn Linh, Phường 6, Quận 8, Tp Hồ Chí Minh", Đã bàn giao, 65 m²," 27,69 triệu/m²", 2 phòng,,, 1 phòng, Chung cư,,,,, Đông,,"1,8 tỷ- 65 m2đ"
"Lô 5, Lô 5 Khu đô thị Vĩnh Lộc, Phường Bình Hưng Hoà B, Quận Bình Tân, Tp Hồ Chí Minh", Đã bàn giao, 68 m²," 23,53 triệu/m²", 2 phòng,,, 2 phòng, Chung cư, Đang chờ sổ,, Hoàn thiện cơ bản, Đông, Tây,,"1,6 tỷ- 68 m2đ"
"628A Xa Lộ Hà Nội, phường An Phú, quận 2, Tp.HCM, Phường An Phú, Quận 2, Tp Hồ Chí Minh", Chưa bàn giao, 50 m², 98 triệu/m², 1 phòng,,, 1 phòng, Chung cư, Đang chờ sổ,, Nội thất cao cấp,,,,"4,9 tỷ- 50 m2đ"
"108, Đường Hồng Hà, Phường 2, Quận Tân Bình, Tp Hồ Chí Minh", Đã bàn giao, 70 m²," 57,14 triệu/m²", 1 phòng, A,7, 1 phòng, Chung cư, Đang chờ sổ, BPA - 0712, Nội thất cao cấp, Đông Nam, Tây Bắc,,4 tỷ- 70 m2đ
"Đường Liên Phường, Phường Phú Hữu, Quận 9, Tp Hồ Chí Minh", Đã bàn giao, 62 m²," 29,03 triệu/m²", 2 phòng,,, 2 phòng, Chung cư, Đã có sổ,, Hoàn thiện cơ bản, Đông Nam, Đông,,"1,8 tỷ- 62 m2đ"
"Đường Nguyễn Văn Linh, Xã Bình Hưng, Huyện Bình Chánh, Tp Hồ Chí Minh", Đã bàn giao, 50 m², 31 triệu/m², 1 phòng,,, 1 phòng, Chung cư,,,,,,,"1,55 tỷ- 50 m2đ"
"Đường Nguyễn Hữu Thọ, Xã Phước Kiển, Huyện Nhà Bè, Tp Hồ Chí Minh", Đã bàn giao, 71 m²," 36,2 triệu/m²", 2 phòng,,, 2 phòng, Chung cư,, ANB60391,,,,,"2,57 tỷ- 71 m2đ"
"104, 104 Đường Phổ Quang, Phường 2, Quận Tân Bình, Tp Hồ Chí Minh", Đã bàn giao, 72.92 m²," 54,17 triệu/m²", 2 phòng,,, 2 phòng, Chung cư,,,,, Nam,,"3,9 tỷ- 72.92 m2đ"
"Đường An Dương Vương, Phường 16, Quận 8, Tp Hồ Chí Minh", Chưa bàn giao, 53 m²," 22,74 triệu/m²", 2 phòng,,, 1 phòng, Chung cư, Đang chờ sổ,,,,,,"1,205 tỷ- 53 m2đ"
"Đường Phạm Văn Đồng, Phường Linh Tây, Thủ Đức, Hồ Chí Minh, Phường Hiệp Bình Chánh, Quận Thủ Đức, Tp Hồ Chí Minh", Đã bàn giao, 72 m²," 29,44 triệu/m²", 2 phòng,,, 2 phòng, Chung cư,,,,,,,"2,12 tỷ- 72 m2đ"
"Đường 20, Phường Hiệp Bình Chánh, Quận Thủ Đức, Tp Hồ Chí Minh", Đã bàn giao, 71 m²," 42,39 triệu/m²", 2 phòng,,, 2 phòng, Chung cư, Đang chờ sổ,,,,,,"3,01 tỷ
GIÁ TỐT
- 71 m2đ"
"Số 207, Số 207 Đường Nguyễn Xí, Phường 26, Quận Bình Thạnh, Tp Hồ Chí Minh", Đã bàn giao, 89 m²," 45,51 triệu/m²", 3 phòng,,, 2 phòng, Chung cư,,,,,,,"4,05 tỷ- 89 m2đ"
"Số 207, Số 207 Đường Nguyễn Xí, Phường 26, Quận Bình Thạnh, Tp Hồ Chí Minh", Đã bàn giao, 66 m²," 51,21 triệu/m²", 2 phòng,,, 2 phòng, Chung cư,,,,,,,"3,38 tỷ- 66 m2đ"
"Đường Phan Văn Hớn, Phường Tân Thới Nhất, Quận 12, Tp Hồ Chí Minh", Đã bàn giao, 65 m²," 33,69 triệu/m²", 2 phòng, A,14, 2 phòng, Chung cư, Đã có sổ, A15, Nội thất cao cấp, Bắc, Nam, Căn góc,"2,19 tỷ- 65 m2đ"
"KĐT City Horse Đường Mai Chí Thọ, Phường An Phú, Quận 2, Tp Hồ Chí Minh", Đã bàn giao, 73 m²," 41,1 triệu/m²", 2 phòng,,, 2 phòng, Chung cư, Đang chờ sổ,,,,,,3 tỷ- 73 m2đ
"Số 510, Số 510 Đường Kinh Dương Vương, Phường An Lạc A, Quận Bình Tân, Tp Hồ Chí Minh", Đã bàn giao, 79 m²," 34,05 triệu/m²", 2 phòng,,, 2 phòng, Chung cư,,,, Tây Bắc, Đông Nam,,"2,69 tỷ- 79 m2đ"
"Số 207, Số 207 Đường Nguyễn Xí, Phường 26, Quận Bình Thạnh, Tp Hồ Chí Minh", Đã bàn giao, 66 m²," 53,03 triệu/m²", 2 phòng,,, 2 phòng, Chung cư,,,,,,,"3,5 tỷ- 66 m2đ"
"996, 996 Đường Tạ Quang Bửu, Phường 6, Quận 8, Tp Hồ Chí Minh", Đã bàn giao, 68 m²," 38,97 triệu/m²", 2 phòng,,, 1 phòng, Chung cư, Đang chờ sổ,, Nội thất đầy đủ, Đông Nam, Tây Bắc,,"2,65 tỷ- 68 m2đ"
"Đường Nguyễn Hữu Thọ, Xã Phước Kiển, Huyện Nhà Bè, Tp Hồ Chí Minh", Đã bàn giao, 64 m²," 51,56 triệu/m²", 2 phòng, K,10, 2 phòng, Chung cư, Đang chờ sổ, K.10.07, Nội thất đầy đủ, Nam, Bắc,,"3,3 tỷ- 64 m2đ"
"130-132, 130-132 Đường Hồng Hà, Phường 9, Quận Phú Nhuận, Tp Hồ Chí Minh", Đã bàn giao, 98 m²," 63,27 triệu/m²", 2 phòng,,, 2 phòng, Chung cư,,, Nội thất đầy đủ,,,,"6,2 tỷ- 98 m2đ"
"Đường Thống Nhất, Phường Linh Trung, Quận Thủ Đức, Tp Hồ Chí Minh", Chưa bàn giao, 50 m²," 33,6 triệu/m²", 2 phòng, Lovely,, 1 phòng, Chung cư, Giấy tờ khác,, Nội thất đầy đủ,,, Căn góc,"1,68 tỷ- 50 m2đ"
"Đường số 1, Phường Trường Thọ, Quận Thủ Đức, Tp Hồ Chí Minh", Chưa bàn giao, 49 m²," 38,57 triệu/m²", 1 phòng,,, 1 phòng, Chung cư,,,,,,,"1,89 tỷ- 49 m2đ"
